"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipFree",117406,302531727940,2576799,97.20773617705058
"hipExtModuleLaunchKernel",1674240,4610139584,2753,1.4813032519674363
"hipMalloc",118269,1267769909,10719,0.40735245749733917
"hipMemcpy",33280,937489924,28169,0.3012288126649279
"hipLaunchKernel",250476,718084396,2866,0.23073070383238797
"hipModuleLoadData",4,530261914,132565478,0.17038067574543034
"hipMemset",91370,442049907,4838,0.14203690644066252
"hipModuleGetFunction",458928,77107624,168,0.02477577351000276
"hipSetDevice",666661,43327112,64,0.013921615763371501
"hipModuleUnload",4,21950484,5487621,0.00705300191870702
"hipModuleLoad",37,16456379,444767,0.0052876680378423505
"__hipPushCallConfiguration",250476,12715864,50,0.004085787501998476
"__hipPopCallConfiguration",250476,12290375,49,0.003949071849924985
"hipDeviceGetAttribute",497,263720,530,8.473697737149737e-05
"hipDeviceSynchronize",512,217197,424,6.978847745395539e-05
"hipGetDeviceProperties",6,5501,916,1.767549342183403e-06
"hipGetLastError",55,2667,48,8.569449364848456e-07
"hipMemGetInfo",1,2555,2555,8.209577475510989e-07
"hipGetDevice",4,250,62,8.03285467271134e-08
"hipGetDeviceCount",1,70,70,2.249199308359175e-08
"hipInit",1,70,70,2.249199308359175e-08
