"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",39486,298560199302,7561165,97.87964080016545
"hsa_amd_memory_pool_free",39943,3275274001,81998,1.0737621541300102
"hsa_amd_memory_pool_allocate",40810,1185629671,29052,0.38869550124500113
"hsa_signal_store_screlease",2087774,750320387,359,0.24598419392905715
"hsa_signal_load_relaxed",6340583,458174657,72,0.1502074655488033
"hsa_executable_iterate_symbols",1961,166410406,84859,0.05455580081594816
"hsa_amd_profiling_get_dispatch_time",2048791,141544315,69,0.046403729438469266
"hsa_queue_load_read_index_scacquire",2087774,92918906,44,0.030462429902201008
"hsa_queue_add_write_index_screlease",2087774,90584612,43,0.02969715757596281
"hsa_queue_load_read_index_relaxed",2087774,86657427,41,0.02840967365126534
"hsa_signal_silent_store_relaxed",2088286,85655510,41,0.028081206305983385
"hsa_executable_load_agent_code_object",44,45682380,1038235,0.014976460210537878
"hsa_executable_symbol_get_info",953584,34726938,36,0.011384840395592696
"hsa_queue_create",1,23626843,23626843,0.007745797703406114
"hsa_executable_freeze",44,11956067,271728,0.003919663592396564
"hsa_agent_get_info",2004,8570738,4276,0.0028098211308593157
"hsa_executable_destroy",4,4146261,1036565,0.0013593055547676148
"hsa_amd_memory_async_copy",512,2762429,5395,0.0009056316243360337
"hsa_signal_create",625,877329,1403,0.0002876225551306868
"hsa_amd_pointer_info",2048,808023,394,0.00026490135384144714
"hsa_executable_get_symbol_by_name",1961,623077,317,0.0002042688646826481
"hsa_code_object_reader_create_from_memory",44,497312,11302,0.00016303820817179432
"hsa_amd_profiling_get_async_copy_time",512,69866,136,2.2904791061005126e-05
"hsa_amd_agents_allow_access",4,66796,16699,2.189832570507684e-05
"hsa_executable_create_alt",44,51447,1169,1.6866326764313555e-05
"hsa_isa_get_info_alt",2,18133,9066,5.9447023775399476e-06
"hsa_signal_destroy",44,11106,252,3.6409785807620723e-06
"hsa_iterate_agents",1,8495,8495,2.784991269905799e-06
"hsa_amd_agent_iterate_memory_pools",3,6983,2327,2.2892988861391635e-06
"hsa_amd_profiling_async_copy_enable",1,2204,2204,7.225568874481908e-07
"hsa_amd_memory_pool_get_info",14,1302,93,4.2684621935460276e-07
"hsa_code_object_reader_destroy",4,1082,270,3.547216661610447e-07
"hsa_amd_agent_memory_pool_get_info",7,601,85,1.9703116576967454e-07
"hsa_amd_profiling_set_profiler_enabled",1,481,481,1.5769050039137014e-07
"hsa_system_get_major_extension_table",1,421,421,1.3802016770221793e-07
"hsa_agent_iterate_isas",1,360,360,1.180219961349132e-07
"hsa_system_get_info",3,280,93,9.179488588271027e-08
