"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"miopenSp3AsmConv_v30_2_6_gfx11_fp32_f2x3_stride1",27648,59859014099,2165039,22.095341118638725
"miopenSp3AsmConv_v30_2_6_gfx11_fp32_f3x2_stride2",3584,23661845698,6602077,8.734132361906681
"Op4dTensorLite",24576,20758727431,844674,7.662524528355879
"MIOpenBatchNormBwdSpatial",27136,19413777313,715425,7.166072455229272
"miopenSp3AsmConv_v30_2_6_gfx11_fp32_f3x2_dilation2",3072,18047410483,5874808,6.661714980311431
"miopenSp3AsmConv_v30_2_6_gfx11_fp32_f3x2_stride1",8192,15905877015,1941635,5.8712256412424155
"Cijk_Alik_Bljk_SB_MT128x128x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU32_SUM3_SUS128_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_16_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_8_1_WGM1",131072,13770309898,105059,5.082938619778574
"MIOpenActiveFwdLite",33280,11850325432,356079,4.37422812132975
"MIOpenActiveBwdLite",25088,11208138299,446752,4.137182056017548
"MIOpenBatchNormFwdTrainSpatial",20480,10658146153,520417,3.9341672843685576
"Cijk_Alik_Bljk_SB_MT128x128x8_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_8_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_16_1_WGM4",65536,6868591233,104806,2.535355260723576
"Cijk_Alik_Bljk_SB_MT16x16x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FSSC10_FL0_GRPM1_GRVW1_GSU4_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT2_2_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW1_WSGRA0_WSGRB0_WS32_WG8_8_1_WGM8",65536,5757749225,87856,2.1253178843130676
