"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipFree",11608,29394855430,2532292,94.8764507283952
"hipModuleLoadData",4,542385624,135596406,1.7506336458694358
"hipExtModuleLaunchKernel",163500,477273753,2919,1.5404749929216017
"hipMemset",9596,198894325,20726,0.6419622532574545
"hipMalloc",12471,134832555,10811,0.4351929640036721
"hipMemcpy",3250,92168270,28359,0.2974873731970052
"hipLaunchKernel",24558,88954673,3622,0.28711499092223997
"hipModuleUnload",4,22193170,5548292,0.07163189507858377
"hipModuleLoad",37,16558802,447535,0.05344609929501027
"hipModuleGetFunction",44976,7077935,157,0.022845131961456423
"hipSetDevice",65137,4350069,66,0.014040521754783108
"__hipPushCallConfiguration",24558,1210738,49,0.003907844502775149
"__hipPopCallConfiguration",24558,1189526,48,0.003839379485907035
"hipDeviceGetAttribute",497,269929,543,0.0008712376738729545
"hipDeviceSynchronize",50,21381,427,6.901049055521134e-05
"hipGetDeviceProperties",6,4846,807,1.564121590339807e-05
"hipGetLastError",55,2383,43,7.69150175356946e-06
"hipMemGetInfo",1,1983,1983,6.400439772273705e-06
"hipInit",1,361,361,1.1651834381194187e-06
"hipGetDevice",4,250,62,8.069137383098468e-07
"hipGetDeviceCount",1,70,70,2.259358467267571e-07
