"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",3902,29014420183,7435781,96.97520882410373
"hsa_amd_memory_pool_free",3907,314623619,80528,1.0515699076901401
"hsa_executable_iterate_symbols",1961,172411961,87920,0.5762543527078495
"hsa_amd_memory_pool_allocate",4774,126839192,26568,0.42393599643557583
"hsa_signal_store_screlease",204662,75852309,370,0.2535219886756626
"hsa_executable_load_agent_code_object",44,46663775,1060540,0.15596483736722727
"hsa_signal_load_relaxed",620593,41775845,67,0.1396278563254579
"hsa_executable_symbol_get_info",953584,34737316,36,0.11610290510174073
"hsa_queue_create",1,24107682,24107682,0.08057536498988417
"hsa_amd_profiling_get_dispatch_time",200345,13460739,67,0.04498997282105216
"hsa_executable_freeze",44,12036109,273547,0.04022841664051441
"hsa_queue_load_read_index_scacquire",204662,9221224,45,0.03082019621187469
"hsa_queue_load_read_index_relaxed",204662,8553474,41,0.028588368200704012
"hsa_queue_add_write_index_screlease",204662,8270914,40,0.027643964871858804
"hsa_signal_silent_store_relaxed",204712,7840903,38,0.026206734478880122
"hsa_executable_destroy",4,4667044,1166761,0.015598711386845444
"hsa_amd_memory_async_copy",50,943863,18877,0.0031546834625347654
"hsa_signal_create",609,841105,1381,0.0028112342932769944
"hsa_agent_get_info",2004,789218,393,0.002637811814781131
"hsa_executable_get_symbol_by_name",1961,620550,316,0.0020740709432152215
"hsa_code_object_reader_create_from_memory",44,496771,11290,0.0016603630594343225
"hsa_amd_pointer_info",200,67438,337,0.00022539875315212007
"hsa_amd_agents_allow_access",4,59730,14932,0.00019963622180041123
"hsa_executable_create_alt",44,57037,1296,0.0001906353789189696
"hsa_isa_get_info_alt",2,20659,10329,6.904879802736809e-05
"hsa_signal_destroy",44,11841,269,3.957630173009659e-05
"hsa_iterate_agents",1,8877,8877,2.9669692632215813e-05
"hsa_amd_profiling_get_async_copy_time",50,7151,143,2.3900864257403997e-05
"hsa_amd_agent_iterate_memory_pools",3,6263,2087,2.0932892300953885e-05
"hsa_amd_profiling_async_copy_enable",1,2174,2174,7.2661835960839446e-06
"hsa_amd_memory_pool_get_info",14,1172,83,3.917188212792264e-06
"hsa_amd_agent_memory_pool_get_info",7,1011,144,3.3790761801475933e-06
"hsa_agent_iterate_isas",1,972,972,3.2487260604386356e-06
"hsa_code_object_reader_destroy",4,771,192,2.576921597323239e-06
"hsa_amd_profiling_set_profiler_enabled",1,671,671,2.2426905211464244e-06
"hsa_system_get_major_extension_table",1,370,370,1.2366549818542133e-06
"hsa_system_get_info",3,231,77,7.720737859684412e-07
